Block數量,1000
Thread數量,10
預期模擬次數,100000000
實際模擬次數,99779756
執行時間(ms),2657
元素個數,26
轉盤個數,3
排列組合總數,17576
A-E-T,5554,0.00556626%
A-E-U,5833,0.00584588%
A-E-V,5636,0.00564844%
A-E-W,5645,0.00565746%
A-E-X,5738,0.00575067%
A-E-Y,5729,0.00574165%
A-E-Z,5663,0.0056755%
A-F-A,5583,0.00559532%
A-F-B,5562,0.00557428%
A-F-C,5734,0.00574666%
A-F-D,5603,0.00561537%
A-F-E,5528,0.0055402%
A-F-F,5625,0.00563742%
A-F-G,5705,0.00571759%
A-F-H,5741,0.00575367%
A-F-I,5625,0.00563742%
A-F-J,5658,0.00567049%
A-F-K,5633,0.00564543%
A-F-L,5791,0.00580378%
A-F-M,5602,0.00561437%
A-F-N,5736,0.00574866%
A-F-O,5708,0.0057206%
A-F-P,5765,0.00577773%
A-F-Q,5663,0.0056755%
A-F-R,5794,0.00580679%
A-F-S,5696,0.00570857%
A-F-T,5660,0.00567249%
A-F-U,5768,0.00578073%
A-F-V,5703,0.00571559%
A-F-W,5640,0.00565245%
A-F-X,5671,0.00568352%
A-F-Y,5681,0.00569354%
A-F-Z,5745,0.00575768%
A-G-A,5722,0.00573463%
A-G-B,5674,0.00568652%
A-G-C,5585,0.00559733%
A-G-D,5642,0.00565445%
A-G-E,5631,0.00564343%
A-G-F,5704,0.00571659%
A-G-G,5570,0.00558229%
A-G-H,5559,0.00557127%
A-G-I,5786,0.00579877%
A-G-J,5664,0.0056765%
A-G-K,5642,0.00565445%
A-G-L,5667,0.00567951%
A-G-M,5713,0.00572561%
A-G-N,5691,0.00570356%
A-G-O,5739,0.00575167%
A-G-P,5844,0.0058569%
A-G-Q,5780,0.00579276%
A-G-R,5757,0.00576971%
A-G-S,5750,0.00576269%
A-G-T,5575,0.00558731%
A-G-U,5602,0.00561437%
A-G-V,5576,0.00558831%
A-G-W,5577,0.00558931%
A-G-X,5618,0.0056304%
A-G-Y,5617,0.0056294%
A-G-Z,5801,0.0058138%
A-H-A,5672,0.00568452%
A-H-B,5666,0.00567851%
A-H-C,5651,0.00566347%
A-H-D,5719,0.00573162%
A-H-E,5682,0.00569454%
A-H-F,5824,0.00583686%
A-H-G,5640,0.00565245%
A-H-H,5655,0.00566748%
A-H-I,5661,0.0056735%
A-H-J,5584,0.00559633%
A-H-K,5749,0.00576169%
A-H-L,5818,0.00583084%
A-H-M,5667,0.00567951%
A-H-N,5580,0.00559232%
A-H-O,5611,0.00562339%
A-H-P,5513,0.00552517%
A-H-Q,5644,0.00565646%
A-H-R,5623,0.00563541%
A-H-S,5636,0.00564844%
A-H-T,5785,0.00579777%
A-H-U,5759,0.00577171%
A-H-V,5707,0.0057196%
A-H-W,5568,0.00558029%
A-H-X,5743,0.00575568%
A-H-Y,5687,0.00569955%
A-H-Z,5555,0.00556726%
A-I-A,5569,0.00558129%
A-I-B,5587,0.00559933%
A-I-C,5587,0.00559933%
A-I-D,5648,0.00566047%
A-I-E,5579,0.00559131%
A-I-F,5745,0.00575768%
A-I-G,5768,0.00578073%
A-I-H,5838,0.00585089%
A-I-I,5655,0.00566748%
A-I-J,5712,0.00572461%
A-I-K,5603,0.00561537%
A-I-L,5637,0.00564944%
A-I-M,5673,0.00568552%
A-I-N,5787,0.00579977%
A-I-O,5762,0.00577472%
A-I-P,5664,0.0056765%
A-I-Q,5601,0.00561336%
A-I-R,5617,0.0056294%
A-I-S,5657,0.00566949%
A-I-T,5642,0.00565445%
A-I-U,5589,0.00560134%
A-I-V,5636,0.00564844%
A-I-W,5615,0.00562739%
A-I-X,5519,0.00553118%
A-I-Y,5695,0.00570757%
A-I-Z,5673,0.00568552%
A-J-A,5722,0.00573463%
A-J-B,5861,0.00587394%
A-J-C,5651,0.00566347%
A-J-D,5506,0.00551815%
A-J-E,5721,0.00573363%
A-J-F,5594,0.00560635%
A-J-G,5735,0.00574766%
A-J-H,5595,0.00560735%
A-J-I,5821,0.00583385%
A-J-J,5721,0.00573363%
A-J-K,5638,0.00565044%
A-J-L,5626,0.00563842%
A-J-M,5740,0.00575267%
A-J-N,5800,0.0058128%
A-J-O,5619,0.0056314%
A-J-P,5658,0.00567049%
A-J-Q,5693,0.00570557%
A-J-R,5775,0.00578775%
A-J-S,5632,0.00564443%
A-J-T,5668,0.00568051%
A-J-U,5806,0.00581882%
A-J-V,5685,0.00569755%
A-J-W,5750,0.00576269%
A-J-X,5761,0.00577372%
A-J-Y,5639,0.00565145%
A-J-Z,5669,0.00568151%
A-K-A,5553,0.00556526%
A-K-B,5754,0.0057667%
A-K-C,5759,0.00577171%
A-K-D,5721,0.00573363%
A-K-E,5688,0.00570056%
A-K-F,5641,0.00565345%
A-K-G,5624,0.00563641%
A-K-H,5634,0.00564644%
A-K-I,5655,0.00566748%
A-K-J,5555,0.00556726%
A-K-K,5584,0.00559633%
A-K-L,5632,0.00564443%
A-K-M,5690,0.00570256%
A-K-N,5715,0.00572761%
A-K-O,5795,0.00580779%
A-K-P,5623,0.00563541%
A-K-Q,5645,0.00565746%
A-K-R,5710,0.0057226%
A-K-S,5628,0.00564042%
A-K-T,5654,0.00566648%
A-K-U,5701,0.00571358%
A-K-V,5751,0.00576369%
A-K-W,5621,0.00563341%
A-K-X,5705,0.00571759%
A-K-Y,5610,0.00562238%
A-K-Z,5785,0.00579777%
A-L-A,5593,0.00560535%
A-L-B,5765,0.00577773%
A-L-C,5659,0.00567149%
A-L-D,5741,0.00575367%
A-L-E,5540,0.00555223%
A-L-F,5667,0.00567951%
A-L-G,5471,0.00548308%
A-L-H,5598,0.00561036%
A-L-I,5701,0.00571358%
A-L-J,5408,0.00541994%
A-L-K,5656,0.00566848%
A-L-L,5584,0.00559633%
A-L-M,5784,0.00579677%
A-L-N,5602,0.00561437%
A-L-O,5643,0.00565546%
A-L-P,5740,0.00575267%
A-L-Q,5661,0.0056735%
A-L-R,5681,0.00569354%
A-L-S,5498,0.00551014%
A-L-T,5717,0.00572962%
A-L-U,5581,0.00559332%
A-L-V,5616,0.0056284%
A-L-W,5710,0.0057226%
A-L-X,5749,0.00576169%
A-L-Y,5686,0.00569855%
A-L-Z,5790,0.00580278%
A-M-A,5635,0.00564744%
A-M-B,5593,0.00560535%
A-M-C,5695,0.00570757%
A-M-D,5777,0.00578975%
A-M-E,5711,0.00572361%
A-M-F,5766,0.00577873%
A-M-G,5717,0.00572962%
A-M-H,5703,0.00571559%
A-M-I,5600,0.00561236%
A-M-J,5672,0.00568452%
A-M-K,5649,0.00566147%
A-M-L,5624,0.00563641%
A-M-M,5659,0.00567149%
A-M-N,5632,0.00564443%
A-M-O,5608,0.00562038%
A-M-P,5720,0.00573263%
A-M-Q,5739,0.00575167%
A-M-R,5626,0.00563842%
A-M-S,5754,0.0057667%
A-M-T,5745,0.00575768%
A-M-U,5770,0.00578274%
A-M-V,5699,0.00571158%
A-M-W,5712,0.00572461%
A-M-X,5664,0.0056765%
A-M-Y,5768,0.00578073%
A-M-Z,5676,0.00568853%
A-N-A,5694,0.00570657%
A-N-B,5633,0.00564543%
A-N-C,5654,0.00566648%
A-N-D,5610,0.00562238%
A-N-E,5586,0.00559833%
A-N-F,5649,0.00566147%
A-N-G,5790,0.00580278%
A-N-H,5604,0.00561637%
A-N-I,5736,0.00574866%
A-N-J,5691,0.00570356%
A-N-K,5665,0.0056775%
A-N-L,5661,0.0056735%
A-N-M,5786,0.00579877%
A-N-N,5675,0.00568753%
A-N-O,5593,0.00560535%
A-N-P,5707,0.0057196%
A-N-Q,5772,0.00578474%
A-N-R,5649,0.00566147%
A-N-S,5715,0.00572761%
A-N-T,5699,0.00571158%
A-N-U,5721,0.00573363%
A-N-V,5686,0.00569855%
A-N-W,5525,0.0055372%
A-N-X,5744,0.00575668%
A-N-Y,5721,0.00573363%
A-N-Z,5761,0.00577372%
A-O-A,5642,0.00565445%
A-O-B,5701,0.00571358%
A-O-C,5622,0.00563441%
A-O-D,5682,0.00569454%
A-O-E,5618,0.0056304%
A-O-F,5676,0.00568853%
A-O-G,5602,0.00561437%
A-O-H,5793,0.00580579%
A-O-I,5626,0.00563842%
A-O-J,5854,0.00586692%
A-O-K,5705,0.00571759%
A-O-L,5564,0.00557628%
A-O-M,5642,0.00565445%
A-O-N,5608,0.00562038%
A-O-O,5627,0.00563942%
A-O-P,5648,0.00566047%
A-O-Q,5626,0.00563842%
A-O-R,5732,0.00574465%
A-O-S,5786,0.00579877%
A-O-T,5807,0.00581982%
A-O-U,5680,0.00569254%
A-O-V,5657,0.00566949%
A-O-W,5589,0.00560134%
A-O-X,5659,0.00567149%
A-O-Y,5606,0.00561837%
A-O-Z,5572,0.0055843%
A-P-A,5671,0.00568352%
A-P-B,5576,0.00558831%
A-P-C,5623,0.00563541%
A-P-D,5642,0.00565445%
A-P-E,5661,0.0056735%
A-P-F,5616,0.0056284%
A-P-G,5758,0.00577071%
A-P-H,5618,0.0056304%
A-P-I,5596,0.00560835%
A-P-J,5712,0.00572461%
A-P-K,5669,0.00568151%
A-P-L,5718,0.00573062%
A-P-M,5596,0.00560835%
A-P-N,5775,0.00578775%
A-P-O,5732,0.00574465%
A-P-P,5723,0.00573563%
A-P-Q,5762,0.00577472%
A-P-R,5836,0.00584888%
A-P-S,5654,0.00566648%
A-P-T,5671,0.00568352%
A-P-U,5803,0.00581581%
A-P-V,5741,0.00575367%
A-P-W,5663,0.0056755%
A-P-X,5601,0.00561336%
A-P-Y,5660,0.00567249%
A-P-Z,5718,0.00573062%
A-Q-A,5694,0.00570657%
A-Q-B,5775,0.00578775%
A-Q-C,5766,0.00577873%
A-Q-D,5593,0.00560535%
A-Q-E,5717,0.00572962%
A-Q-F,5657,0.00566949%
A-Q-G,5579,0.00559131%
A-Q-H,5691,0.00570356%
A-Q-I,5684,0.00569655%
A-Q-J,5642,0.00565445%
A-Q-K,5521,0.00553319%
A-Q-L,5536,0.00554822%
A-Q-M,5726,0.00573864%
A-Q-N,5635,0.00564744%
A-Q-O,5769,0.00578173%
A-Q-P,5671,0.00568352%
A-Q-Q,5768,0.00578073%
A-Q-R,5601,0.00561336%
A-Q-S,5582,0.00559432%
A-Q-T,5557,0.00556927%
A-Q-U,5833,0.00584588%
A-Q-V,5594,0.00560635%
A-Q-W,5722,0.00573463%
A-Q-X,5649,0.00566147%
A-Q-Y,5617,0.0056294%
A-Q-Z,5703,0.00571559%
A-R-A,5538,0.00555022%
A-R-B,5695,0.00570757%
A-R-C,5635,0.00564744%
A-R-D,5629,0.00564142%
A-R-E,5713,0.00572561%
A-R-F,5792,0.00580478%
A-R-G,5721,0.00573363%
A-R-H,5606,0.00561837%
A-R-I,5734,0.00574666%
A-R-J,5495,0.00550713%
A-R-K,5610,0.00562238%
A-R-L,5698,0.00571058%
A-R-M,5687,0.00569955%
A-R-N,5590,0.00560234%
A-R-O,5680,0.00569254%
A-R-P,5647,0.00565946%
A-R-Q,5714,0.00572661%
A-R-R,5659,0.00567149%
A-R-S,5602,0.00561437%
A-R-T,5706,0.00571859%
A-R-U,5560,0.00557227%
A-R-V,5572,0.0055843%
A-R-W,5710,0.0057226%
A-R-X,5614,0.00562639%
A-R-Y,5694,0.00570657%
A-R-Z,5778,0.00579075%
A-S-A,5681,0.00569354%
A-S-B,5634,0.00564644%
A-S-C,5693,0.00570557%
A-S-D,5785,0.00579777%
A-S-E,5743,0.00575568%
A-S-F,5756,0.00576871%
A-S-G,5726,0.00573864%
A-S-H,5704,0.00571659%
A-S-I,5547,0.00555924%
A-S-J,5721,0.00573363%
A-S-K,5682,0.00569454%
A-S-L,5858,0.00587093%
A-S-M,5713,0.00572561%
A-S-N,5701,0.00571358%
A-S-O,5636,0.00564844%
A-S-P,5624,0.00563641%
A-S-Q,5530,0.00554221%
A-S-R,5569,0.00558129%
A-S-S,5720,0.00573263%
A-S-T,5667,0.00567951%
A-S-U,5605,0.00561737%
A-S-V,5632,0.00564443%
A-S-W,5763,0.00577572%
A-S-X,5789,0.00580178%
A-S-Y,5746,0.00575868%
A-S-Z,5732,0.00574465%
A-T-A,5795,0.00580779%
A-T-B,5744,0.00575668%
A-T-C,5671,0.00568352%
A-T-D,5694,0.00570657%
A-T-E,5607,0.00561938%
A-T-F,5718,0.00573062%
A-T-G,5617,0.0056294%
A-T-H,5613,0.00562539%
A-T-I,5593,0.00560535%
A-T-J,5751,0.00576369%
A-T-K,5547,0.00555924%
A-T-L,5678,0.00569053%
A-T-M,5799,0.0058118%
A-T-N,5751,0.00576369%
A-T-O,5642,0.00565445%
A-T-P,5590,0.00560234%
A-T-Q,5645,0.00565746%
A-T-R,5559,0.00557127%
A-T-S,5628,0.00564042%
A-T-T,5722,0.00573463%
A-T-U,5551,0.00556325%
A-T-V,5725,0.00573764%
A-T-W,5549,0.00556125%
A-T-X,5828,0.00584086%
A-T-Y,5821,0.00583385%
A-T-Z,5481,0.0054931%
A-U-A,5666,0.00567851%
A-U-B,5536,0.00554822%
A-U-C,5702,0.00571459%
A-U-D,5501,0.00551314%
A-U-E,5616,0.0056284%
A-U-F,5670,0.00568252%
A-U-G,5728,0.00574064%
A-U-H,5657,0.00566949%
A-U-I,5749,0.00576169%
A-U-J,5694,0.00570657%
A-U-K,5721,0.00573363%
A-U-L,5502,0.00551414%
A-U-M,5625,0.00563742%
A-U-N,5594,0.00560635%
A-U-O,5649,0.00566147%
A-U-P,5748,0.00576069%
A-U-Q,5671,0.00568352%
A-U-R,5656,0.00566848%
A-U-S,5558,0.00557027%
A-U-T,5688,0.00570056%
A-U-U,5691,0.00570356%
A-U-V,5722,0.00573463%
A-U-W,5713,0.00572561%
A-U-X,5717,0.00572962%
A-U-Y,5734,0.00574666%
A-U-Z,5635,0.00564744%
A-V-A,5742,0.00575467%
A-V-B,5675,0.00568753%
A-V-C,5636,0.00564844%
A-V-D,5664,0.0056765%
A-V-E,5818,0.00583084%
A-V-F,5642,0.00565445%
A-V-G,5608,0.00562038%
A-V-H,5797,0.0058098%
A-V-I,5588,0.00560033%
A-V-J,5792,0.00580478%
A-V-K,5721,0.00573363%
A-V-L,5645,0.00565746%
A-V-M,5734,0.00574666%
A-V-N,5648,0.00566047%
A-V-O,5732,0.00574465%
A-V-P,5704,0.00571659%
A-V-Q,5630,0.00564243%
A-V-R,5558,0.00557027%
A-V-S,5683,0.00569554%
A-V-T,5809,0.00582182%
A-V-U,5728,0.00574064%
A-V-V,5674,0.00568652%
A-V-W,5570,0.00558229%
A-V-X,5669,0.00568151%
A-V-Y,5496,0.00550813%
A-V-Z,5642,0.00565445%
A-W-A,5636,0.00564844%
A-W-B,5662,0.0056745%
A-W-C,5640,0.00565245%
A-W-D,5663,0.0056755%
A-W-E,5782,0.00579476%
A-W-F,5818,0.00583084%
A-W-G,5724,0.00573663%
A-W-H,5727,0.00573964%
A-W-I,5620,0.00563241%
A-W-J,5600,0.00561236%
A-W-K,5608,0.00562038%
A-W-L,5662,0.0056745%
A-W-M,5580,0.00559232%
A-W-N,5626,0.00563842%
A-W-O,5675,0.00568753%
A-W-P,5682,0.00569454%
A-W-Q,5724,0.00573663%
A-W-R,5745,0.00575768%
A-W-S,5656,0.00566848%
A-W-T,5659,0.00567149%
A-W-U,5707,0.0057196%
A-W-V,5664,0.0056765%
A-W-W,5768,0.00578073%
A-W-X,5699,0.00571158%
A-W-Y,5672,0.00568452%
A-W-Z,5625,0.00563742%
A-X-A,5641,0.00565345%
A-X-B,5626,0.00563842%
A-X-C,5630,0.00564243%
A-X-D,5643,0.00565546%
A-X-E,5797,0.0058098%
A-X-F,5663,0.0056755%
A-X-G,5686,0.00569855%
A-X-H,5645,0.00565746%
A-X-I,5704,0.00571659%
A-X-J,5739,0.00575167%
A-X-K,5664,0.0056765%
A-X-L,5732,0.00574465%
A-X-M,5590,0.00560234%
A-X-N,5697,0.00570957%
A-X-O,5517,0.00552918%
A-X-P,5661,0.0056735%
A-X-Q,5635,0.00564744%
A-X-R,5692,0.00570456%
A-X-S,5705,0.00571759%
A-X-T,5695,0.00570757%
A-X-U,5552,0.00556425%
A-X-V,5649,0.00566147%
A-X-W,5734,0.00574666%
A-X-X,5583,0.00559532%
A-X-Y,5669,0.00568151%
A-X-Z,5724,0.00573663%
A-Y-A,5742,0.00575467%
A-Y-B,5525,0.0055372%
A-Y-C,5636,0.00564844%
A-Y-D,5637,0.00564944%
A-Y-E,5562,0.00557428%
A-Y-F,5692,0.00570456%
A-Y-G,5643,0.00565546%
A-Y-H,5839,0.00585189%
A-Y-I,5729,0.00574165%
A-Y-J,5603,0.00561537%
A-Y-K,5561,0.00557327%
A-Y-L,5785,0.00579777%
A-Y-M,5789,0.00580178%
A-Y-N,5647,0.00565946%
A-Y-O,5649,0.00566147%
A-Y-P,5667,0.00567951%
A-Y-Q,5946,0.00595912%
A-Y-R,5604,0.00561637%
A-Y-S,5571,0.0055833%
A-Y-T,5887,0.00589999%
A-Y-U,5678,0.00569053%
A-Y-V,5779,0.00579176%
A-Y-W,5680,0.00569254%
A-Y-X,5679,0.00569154%
A-Y-Y,5647,0.00565946%
A-Y-Z,5655,0.00566748%
A-Z-A,5569,0.00558129%
A-Z-B,5784,0.00579677%
A-Z-C,5741,0.00575367%
A-Z-D,5632,0.00564443%
A-Z-E,5680,0.00569254%
A-Z-F,5686,0.00569855%
A-Z-G,5644,0.00565646%
A-Z-H,5673,0.00568552%
A-Z-I,5486,0.00549811%
A-Z-J,5547,0.00555924%
A-Z-K,5530,0.00554221%
A-Z-L,5644,0.00565646%
A-Z-M,5617,0.0056294%
A-Z-N,5585,0.00559733%
A-Z-O,5720,0.00573263%
A-Z-P,5726,0.00573864%
A-Z-Q,5740,0.00575267%
A-Z-R,5759,0.00577171%
A-Z-S,5593,0.00560535%
A-Z-T,5685,0.00569755%
A-Z-U,5612,0.00562439%
A-Z-V,5668,0.00568051%
A-Z-W,5719,0.00573162%
A-Z-X,5631,0.00564343%
A-Z-Y,5588,0.00560033%
A-Z-Z,5750,0.00576269%
B-A-A,5628,0.00564042%
B-A-B,5657,0.00566949%
B-A-C,5726,0.00573864%
B-A-D,5651,0.00566347%
B-A-E,5564,0.00557628%
B-A-F,5805,0.00581781%
B-A-G,5704,0.00571659%
B-A-H,5794,0.00580679%
B-A-I,5631,0.00564343%
B-A-J,5701,0.00571358%
B-A-K,5689,0.00570156%
B-A-L,5744,0.00575668%
B-A-M,5641,0.00565345%
B-A-N,5558,0.00557027%
B-A-O,5761,0.00577372%
B-A-P,5649,0.00566147%
B-A-Q,5572,0.0055843%
B-A-R,5663,0.0056755%
B-A-S,5632,0.00564443%
B-A-T,5666,0.00567851%
B-A-U,5597,0.00560935%
B-A-V,5629,0.00564142%
B-A-W,5730,0.00574265%
B-A-X,5622,0.00563441%
B-A-Y,5671,0.00568352%
B-A-Z,5579,0.00559131%
B-B-A,5739,0.00575167%
B-B-B,5622,0.00563441%
B-B-C,5706,0.00571859%
B-B-D,5772,0.00578474%
B-B-E,5644,0.00565646%
B-B-F,5687,0.00569955%
B-B-G,5600,0.00561236%
B-B-H,5586,0.00559833%
B-B-I,5653,0.00566548%
B-B-J,5779,0.00579176%
B-B-K,5845,0.0058579%
B-B-L,5651,0.00566347%
B-B-M,5764,0.00577672%
B-B-N,5665,0.0056775%
B-B-O,5605,0.00561737%
B-B-P,5669,0.00568151%
B-B-Q,5680,0.00569254%
B-B-R,5814,0.00582683%
B-B-S,5741,0.00575367%
B-B-T,5649,0.00566147%
B-B-U,5666,0.00567851%
B-B-V,5509,0.00552116%
B-B-W,5614,0.00562639%
B-B-X,5656,0.00566848%
B-B-Y,5663,0.0056755%
B-B-Z,5588,0.00560033%
B-C-A,5591,0.00560334%
B-C-B,5695,0.00570757%
B-C-C,5530,0.00554221%
B-C-D,5746,0.00575868%
B-C-E,5703,0.00571559%
B-C-F,5582,0.00559432%
B-C-G,5702,0.00571459%
B-C-H,5707,0.0057196%
B-C-I,5777,0.00578975%
B-C-J,5638,0.00565044%
B-C-K,5691,0.00570356%
B-C-L,5645,0.00565746%
B-C-M,5601,0.00561336%
B-C-N,5567,0.00557929%
B-C-O,5750,0.00576269%
B-C-P,5634,0.00564644%
B-C-Q,5573,0.0055853%
B-C-R,5636,0.00564844%
B-C-S,5699,0.00571158%
B-C-T,5724,0.00573663%
B-C-U,5545,0.00555724%
B-C-V,5697,0.00570957%
B-C-W,5660,0.00567249%
B-C-X,5844,0.0058569%
B-C-Y,5682,0.00569454%
B-C-Z,5716,0.00572862%
B-D-A,5619,0.0056314%
B-D-B,5561,0.00557327%
B-D-C,5691,0.00570356%
B-D-D,5697,0.00570957%
B-D-E,5754,0.0057667%
B-D-F,5717,0.00572962%
B-D-G,5590,0.00560234%
B-D-H,5668,0.00568051%
B-D-I,5702,0.00571459%
B-D-J,5631,0.00564343%
B-D-K,5637,0.00564944%
B-D-L,5582,0.00559432%
B-D-M,5630,0.00564243%
B-D-N,5708,0.0057206%
B-D-O,5947,0.00596013%
B-D-P,5597,0.00560935%
B-D-Q,5718,0.00573062%
B-D-R,5798,0.0058108%
B-D-S,5703,0.00571559%
B-D-T,5676,0.00568853%
B-D-U,5532,0.00554421%
B-D-V,5718,0.00573062%
B-D-W,5754,0.0057667%
B-D-X,5554,0.00556626%
B-D-Y,5695,0.00570757%
B-D-Z,5863,0.00587594%
B-E-A,5749,0.00576169%
B-E-B,5610,0.00562238%
B-E-C,5694,0.00570657%
B-E-D,5662,0.0056745%
B-E-E,5626,0.00563842%
B-E-F,5694,0.00570657%
B-E-G,5697,0.00570957%
B-E-H,5704,0.00571659%
B-E-I,5703,0.00571559%
B-E-J,5737,0.00574966%
B-E-K,5764,0.00577672%
B-E-L,5677,0.00568953%
B-E-M,5734,0.00574666%
B-E-N,5808,0.00582082%
B-E-O,5639,0.00565145%
B-E-P,5689,0.00570156%
B-E-Q,5661,0.0056735%
B-E-R,5893,0.00590601%
B-E-S,5661,0.0056735%
B-E-T,5791,0.00580378%
B-E-U,5526,0.0055382%
B-E-V,5680,0.00569254%
B-E-W,5831,0.00584387%
B-E-X,5592,0.00560434%
B-E-Y,5861,0.00587394%
B-E-Z,5592,0.00560434%
B-F-A,5778,0.00579075%
B-F-B,5652,0.00566448%
B-F-C,5733,0.00574565%
B-F-D,5709,0.0057216%
B-F-E,5756,0.00576871%
B-F-F,5667,0.00567951%
B-F-G,5789,0.00580178%
B-F-H,5675,0.00568753%
B-F-I,5827,0.00583986%
B-F-J,5686,0.00569855%
B-F-K,5769,0.00578173%
B-F-L,5616,0.0056284%
B-F-M,5631,0.00564343%
B-F-N,5783,0.00579576%
B-F-O,5664,0.0056765%
B-F-P,5775,0.00578775%
B-F-Q,5781,0.00579376%
B-F-R,5495,0.00550713%
B-F-S,5796,0.00580879%
B-F-T,5703,0.00571559%
B-F-U,5653,0.00566548%
B-F-V,5731,0.00574365%
B-F-W,5654,0.00566648%
B-F-X,5696,0.00570857%
B-F-Y,5734,0.00574666%
B-F-Z,5650,0.00566247%
B-G-A,5720,0.00573263%
B-G-B,5721,0.00573363%
B-G-C,5737,0.00574966%
B-G-D,5727,0.00573964%
B-G-E,5864,0.00587694%
B-G-F,5641,0.00565345%
B-G-G,5682,0.00569454%
B-G-H,5775,0.00578775%
B-G-I,5678,0.00569053%
B-G-J,5692,0.00570456%
B-G-K,5802,0.00581481%
B-G-L,5641,0.00565345%
B-G-M,5673,0.00568552%
B-G-N,5675,0.00568753%
B-G-O,5656,0.00566848%
B-G-P,5728,0.00574064%
B-G-Q,5695,0.00570757%
B-G-R,5825,0.00583786%
B-G-S,5714,0.00572661%
B-G-T,5478,0.00549009%
B-G-U,5858,0.00587093%
